N, Search Ops, Balance Ops
373, 2556, 224
374, 2564, 224
375, 2564, 224
376, 2574, 225
377, 2582, 225
378, 2589, 225
379, 2597, 225
380, 2606, 227
381, 2614, 228
382, 2624, 230
383, 2629, 230
384, 2638, 231
385, 2646, 232
386, 2653, 232
387, 2662, 232
388, 2669, 232
389, 2677, 234
390, 2686, 236
391, 2694, 236
392, 2702, 236
393, 2710, 236
394, 2717, 236
395, 2724, 236
396, 2731, 237
397, 2740, 239
398, 2747, 239
399, 2755, 240
400, 2764, 242
401, 2772, 242
402, 2781, 243
403, 2782, 243
404, 2791, 245
405, 2800, 246
406, 2807, 246
407, 2815, 248
408, 2822, 248
409, 2832, 249
410, 2838, 249
411, 2848, 250
412, 2856, 251
413, 2864, 251
414, 2872, 251
415, 2880, 251
416, 2889, 251
417, 2898, 253
418, 2908, 255
419, 2916, 255
420, 2920, 255
421, 2928, 255
422, 2937, 257
423, 2946, 259
424, 2955, 259
425, 2965, 261
426, 2971, 261
427, 2980, 261
428, 2989, 261
429, 2997, 261
430, 3000, 261
431, 3008, 261
432, 3016, 261
433, 3025, 263
434, 3033, 263
435, 3041, 263
436, 3049, 263
437, 3058, 264
438, 3067, 266
439, 3075, 266
440, 3084, 266
441, 3092, 266
442, 3101, 266
443, 3111, 268
444, 3120, 268
445, 3125, 268
446, 3130, 268
447, 3138, 268
448, 3146, 268
449, 3154, 268
450, 3162, 268
451, 3171, 270
452, 3178, 270
453, 3187, 271
454, 3195, 271
455, 3202, 271
456, 3210, 271
457, 3216, 271
458, 3225, 271
459, 3233, 272
460, 3241, 272
461, 3249, 274
462, 3258, 276
463, 3268, 278
464, 3274, 278
465, 3284, 280
466, 3293, 280
467, 3300, 280
468, 3310, 282
469, 3319, 284
470, 3327, 284
471, 3335, 284
472, 3342, 284
473, 3351, 285
474, 3361, 286
475, 3368, 286
476, 3378, 286
477, 3386, 286
478, 3394, 287
479, 3398, 287
480, 3408, 288
481, 3417, 289
482, 3425, 289
483, 3431, 289
484, 3439, 289
485, 3447, 289
486, 3454, 289
487, 3461, 289
488, 3470, 290
489, 3477, 290
490, 3486, 290
491, 3494, 290
492, 3503, 292
493, 3510, 292
494, 3520, 293
495, 3529, 293
496, 3538, 293
497, 3544, 293
498, 3554, 295
499, 3563, 297
500, 3571, 297
501, 3580, 297
502, 3588, 297
503, 3597, 297
504, 3605, 297
505, 3614, 297
506, 3622, 297
507, 3631, 298
508, 3641, 299
509, 3651, 300
510, 3660, 301
511, 3668, 301
512, 3676, 301
513, 3685, 301
514, 3694, 302
515, 3701, 302
516, 3708, 302
517, 3713, 302
518, 3720, 302
519, 3730, 304
520, 3738, 304
521, 3748, 305
522, 3754, 305
523, 3762, 305
524, 3770, 305
525, 3777, 305
526, 3786, 306
527, 3796, 306
528, 3806, 307
529, 3809, 307
530, 3817, 307
531, 3825, 307
532, 3833, 307
533, 3840, 307
534, 3850, 308
535, 3858, 308
536, 3865, 308
537, 3874, 308
538, 3882, 310
539, 3889, 310
540, 3898, 310
541, 3907, 310
542, 3915, 310
543, 3925, 311
544, 3930, 311
545, 3938, 311
546, 3946, 311
547, 3953, 311
548, 3962, 311
549, 3971, 311
550, 3979, 311
551, 3987, 311
552, 3997, 311
553, 4006, 313
554, 4016, 315
555, 4023, 315
556, 4029, 315
557, 4037, 316
558, 4043, 316
559, 4051, 316
560, 4060, 316
561, 4065, 316
562, 4072, 316
563, 4079, 316
564, 4089, 318
565, 4098, 320
566, 4107, 320
567, 4115, 320
568, 4122, 320
569, 4126, 320
570, 4135, 320
571, 4142, 320
572, 4150, 320
573, 4157, 320
574, 4167, 322
575, 4177, 324
576, 4187, 326
577, 4195, 326
578, 4203, 326
579, 4211, 326
580, 4220, 326
581, 4228, 326
582, 4235, 326
583, 4245, 328
584, 4254, 328
585, 4263, 329
586, 4271, 329
587, 4279, 329
588, 4288, 330
589, 4295, 330
590, 4304, 331
591, 4313, 331
592, 4322, 331
593, 4330, 331
594, 4339, 331
595, 4348, 333
596, 4356, 335
597, 4365, 335
598, 4370, 335
599, 4379, 335
600, 4387, 335
601, 4393, 335
602, 4402, 335
603, 4411, 335
604, 4414, 335
605, 4421, 335
606, 4429, 335
607, 4435, 335
608, 4442, 335
609, 4450, 335
610, 4457, 335
611, 4466, 335
612, 4472, 335
613, 4481, 335
614, 4491, 337
615, 4500, 337
616, 4507, 337
617, 4516, 337
618, 4526, 339
619, 4534, 339
620, 4542, 339
621, 4551, 339
622, 4560, 340
623, 4570, 342
624, 4576, 342
625, 4583, 342
626, 4591, 342
627, 4599, 342
628, 4606, 342
629, 4613, 342
630, 4623, 344
631, 4633, 345
632, 4643, 347
633, 4653, 347
634, 4663, 347
635, 4672, 347
